day,old_testament,ot_verses,new_testament,nt_verses,psalms_proverbs,pp_verses,total_verses
260,"Joel 3, Amos 1–3",67,Revelation 12,18,Psalm 145,21,106
261,Amos 4–7,71,Revelation 13,18,Psalm 146,10,99
262,"Amos 8–9, Obadiah 1, Jonah 1–2",77,Revelation 14,20,Proverbs 30:1–9,9,106
263,"Jonah 3–4, Micah 1–4",75,Revelation 15,8,Proverbs 30:10–17,8,91
264,"Micah 5–7, Nahum 1",66,Revelation 16,21,Proverbs 30:18–33,16,103
265,"Nahum 2–3, Habakkuk 1–3",88,Revelation 17,18,Psalm 147,20,126
266,"Zephaniah 1–3, Haggai 1",68,Revelation 18,24,Psalm 148,14,106
267,"Haggai 2, Zechariah 1–3",67,Revelation 19,21,Psalm 149,9,97
268,Zechariah 4–8,77,Revelation 20,15,Psalm 150,6,98
269,Zechariah 9–13,69,Revelation 21,27,Proverbs 31:1–9,9,105
270,"Zechariah 14, Malachi 1–4",76,Revelation 22,21,Proverbs 31:10–31,22,119
